VWL(V),VBL(V),Current(uA),Mode,WL,BL,VSL(V),DeviceID
2.1,4.5,4.505371268981935,SET_SWEEP,121,8,0,121_8
2.2,3,4.576172050231934,SET_SWEEP,121,8,0,121_8
2.2,3.5,4.455322440856935,SET_SWEEP,121,8,0,121_8
2.2,4,4.328979667419434,SET_SWEEP,121,8,0,121_8
2.2,4.5,4.357055839294435,SET_SWEEP,121,8,0,121_8
2.3,3,4.723877128356935,SET_SWEEP,121,8,0,121_8
2.3,3.5,4.798340018981935,SET_SWEEP,121,8,0,121_8
2.3,4,4.713195976013184,SET_SWEEP,121,8,0,121_8
2.3,4.5,4.230407890075684,SET_SWEEP,121,8,0,121_8
2.4,3,4.673217948669434,SET_SWEEP,121,8,0,121_8
2.4,3.5,4.429077323669435,SET_SWEEP,121,8,0,121_8
2.4,4,4.850830253356935,SET_SWEEP,121,8,0,121_8
2.4,4,4.850830253356935,SET_PASSED,121,8,0,121_8
1.6,3,4.775757011169434,SET_SWEEP,121,8,0,121_8
1.6,3.5,4.805969413513185,SET_SWEEP,121,8,0,121_8
1.6,3.5,4.805969413513185,SET_PASSED,121,8,0,121_8
1.6,3,0.06903093695068359,SET_SWEEP,121,9,0,121_9
1.6,3.5,0.0586549603881836,SET_SWEEP,121,9,0,121_9
1.6,4,0.1605836713256836,SET_SWEEP,121,9,0,121_9
1.6,4.5,0.12060564398193359,SET_SWEEP,121,9,0,121_9
1.7,3,0.1407472455444336,SET_SWEEP,121,9,0,121_9
1.7,3.5,0.1389161908569336,SET_SWEEP,121,9,0,121_9
1.7,4,0.11328142523193359,SET_SWEEP,121,9,0,121_9
1.7,4.5,0.0510255658569336,SET_SWEEP,121,9,0,121_9
1.8,3,0.08886736273193359,SET_SWEEP,121,9,0,121_9
1.8,3.5,0.11297624945068359,SET_SWEEP,121,9,0,121_9
1.8,4,0.1215211713256836,SET_SWEEP,121,9,0,121_9
1.8,4.5,0.1486818158569336,SET_SWEEP,121,9,0,121_9
1.9,3,0.06597917913818359,SET_SWEEP,121,9,0,121_9
1.9,3.5,0.1471559369506836,SET_SWEEP,121,9,0,121_9
1.9,4,0.056823905700683595,SET_SWEEP,121,9,0,121_9
1.9,4.5,0.08734148382568359,SET_SWEEP,121,9,0,121_9
2,3,0.21246355413818363,SET_SWEEP,121,9,0,121_9
2,3.5,0.1846925580444336,SET_SWEEP,121,9,0,121_9
2,4,0.1679078900756836,SET_SWEEP,121,9,0,121_9
2,4.5,0.1770631635131836,SET_SWEEP,121,9,0,121_9
2.1,3,5.001281913513184,SET_SWEEP,121,9,0,121_9
2.1,3,5.001281913513184,SET_PASSED,121,9,0,121_9
1.6,3,2.2901002728881834,SET_SWEEP,121,9,0,121_9
1.6,3.5,2.3523561322631834,SET_SWEEP,121,9,0,121_9
1.6,4,1.5057985150756836,SET_SWEEP,121,9,0,121_9
1.6,4.5,1.1591188275756836,SET_SWEEP,121,9,0,121_9
1.7,3,1.1353151166381836,SET_SWEEP,121,9,0,121_9
1.7,3.5,1.1868898236694339,SET_SWEEP,121,9,0,121_9
1.7,4,1.1606447064819339,SET_SWEEP,121,9,0,121_9
1.7,4.5,1.1920778119506836,SET_SWEEP,121,9,0,121_9
1.8,3,1.2451783978881836,SET_SWEEP,121,9,0,121_9
1.8,3.5,1.4557496869506836,SET_SWEEP,121,9,0,121_9
1.8,4,1.1829225385131836,SET_SWEEP,121,9,0,121_9
1.8,4.5,0.8218995892944337,SET_SWEEP,121,9,0,121_9
1.9,3,0.7544557416381837,SET_SWEEP,121,9,0,121_9
1.9,3.5,0.8243409955444337,SET_SWEEP,121,9,0,121_9
1.9,4,0.7575074994506836,SET_SWEEP,121,9,0,121_9
1.9,4.5,0.6424562299194337,SET_SWEEP,121,9,0,121_9
2,3,0.6091920697631836,SET_SWEEP,121,9,0,121_9
2,3.5,0.6699220502319336,SET_SWEEP,121,9,0,121_9
2,4,0.6564943158569336,SET_SWEEP,121,9,0,121_9
2,4.5,0.7202760541381837,SET_SWEEP,121,9,0,121_9
2.1,3,2.8177491986694334,SET_SWEEP,121,9,0,121_9
2.1,3.5,1.4652101361694336,SET_SWEEP,121,9,0,121_9
2.1,4,5.169738944763184,SET_SWEEP,121,9,0,121_9
2.1,4,5.169738944763184,SET_PASSED,121,9,0,121_9
1.6,3,0.3198854291381836,SET_SWEEP,122,5,0,122_5
1.6,3.5,0.3516237103881836,SET_SWEEP,122,5,0,122_5
1.6,4,0.3406373822631836,SET_SWEEP,122,5,0,122_5
1.6,4.5,0.3473512494506836,SET_SWEEP,122,5,0,122_5
1.7,3,0.3516237103881836,SET_SWEEP,122,5,0,122_5
1.7,3.5,0.3720704877319336,SET_SWEEP,122,5,0,122_5
1.7,4,0.3098146283569336,SET_SWEEP,122,5,0,122_5
1.7,4.5,0.3333131635131836,SET_SWEEP,122,5,0,122_5
1.8,3,0.3214113080444336,SET_SWEEP,122,5,0,122_5
1.8,3.5,0.37268083929443363,SET_SWEEP,122,5,0,122_5
1.8,4,0.3281251752319336,SET_SWEEP,122,5,0,122_5
1.8,4.5,0.36627214788818363,SET_SWEEP,122,5,0,122_5
1.9,3,0.3159181439819336,SET_SWEEP,122,5,0,122_5
1.9,3.5,0.32080095648193363,SET_SWEEP,122,5,0,122_5
1.9,4,0.3314821088256836,SET_SWEEP,122,5,0,122_5
1.9,4.5,0.3275148236694336,SET_SWEEP,122,5,0,122_5
2,3,0.3732911908569336,SET_SWEEP,122,5,0,122_5
2,3.5,0.32324236273193363,SET_SWEEP,122,5,0,122_5
2,4,0.27258318304443363,SET_SWEEP,122,5,0,122_5
2,4.5,0.21887224554443363,SET_SWEEP,122,5,0,122_5
